100000000000;100000100000
100000100000;100000200000
100000200000;100000300000
100000300000;100000400000
100000400000;100000500000
100000500000;100000600000
100000600000;100000700000
100000700000;100000800000
100000800000;100000900000
100000900000;100001000000
100001000000;100001100000
100001100000;100001200000
100001200000;100001300000
100001300000;100001400000
100001400000;100001500000
100001500000;100001600000
100001600000;100001700000
100001700000;100001800000
100001800000;100001900000
100001900000;100002000000
100002000000;100002100000
100002100000;100002200000
100002200000;100002300000
100002300000;100002400000
100002400000;100002500000
100002500000;100002600000
100002600000;100002700000
100002700000;100002800000
100002800000;100002900000
100002900000;100003000000
100003000000;100003100000
100003100000;100003200000
100003200000;100003300000
100003300000;100003400000
100003400000;100003500000
100003500000;100003600000
100003600000;100003700000
100003700000;100003800000
100003800000;100003900000
100003900000;100004000000
100004000000;100004100000
100004100000;100004200000
100004200000;100004300000
100004300000;100004400000
100004400000;100004500000
100004500000;100004600000
100004600000;100004700000
100004700000;100004800000
100004800000;100004900000
100004900000;100005000000
100005000000;100005100000
100005100000;100005200000
100005200000;100005300000
100005300000;100005400000
100005400000;100005500000
100005500000;100005600000
100005600000;100005700000
100005700000;100005800000
100005800000;100005900000
100005900000;100006000000
100006000000;100006100000
100006100000;100006200000
100006200000;100006300000
100006300000;100006400000
100006400000;100006500000
100006500000;100006600000
100006600000;100006700000
100006700000;100006800000
100006800000;100006900000
100006900000;100007000000
100007000000;100007100000
100007100000;100007200000
100007200000;100007300000
100007300000;100007400000
100007400000;100007500000
100007500000;100007600000
100007600000;100007700000
100007700000;100007800000
100007800000;100007900000
100007900000;100008000000
100008000000;100008100000
100008100000;100008200000
100008200000;100008300000
100008300000;100008400000
100008400000;100008500000
100008500000;100008600000
100008600000;100008700000
100008700000;100008800000
100008800000;100008900000
100008900000;100009000000
100009000000;100009100000
100009100000;100009200000
100009200000;100009300000
100009300000;100009400000
100009400000;100009500000
100009500000;100009600000
100009600000;100009700000
100009700000;100009800000
100009800000;100009900000
100009900000;100010000000
100010000000;100010100000
100010100000;100010200000
100010200000;100010300000
100010300000;100010400000
100010400000;100010500000
100010500000;100010600000
100010600000;100010700000
100010700000;100010800000
100010800000;100010900000
100010900000;100011000000
100011000000;100011100000
100011100000;100011200000
100011200000;100011300000
100011300000;100011400000
100011400000;100011500000
100011500000;100011600000
100011600000;100011700000
100011700000;100011800000
100011800000;100011900000
100011900000;100012000000
100012000000;100012100000
100012100000;100012200000
100012200000;100012300000
100012300000;100012400000
100012400000;100012500000
100012500000;100012600000
100012600000;100012700000
100012700000;100012800000
100012800000;100012900000
100012900000;100013000000
100013000000;100013100000
100013100000;100013200000
100013200000;100013300000
100013300000;100013400000
100013400000;100013500000
100013500000;100013600000
100013600000;100013700000
100013700000;100013800000
100013800000;100013900000
100013900000;100014000000
100014000000;100014100000
100014100000;100014200000
100014200000;100014300000
100014300000;100014400000
100014400000;100014500000
100014500000;100014600000
100014600000;100014700000
100014700000;100014800000
100014800000;100014900000
100014900000;100015000000
100015000000;100015100000
100015100000;100015200000
100015200000;100015300000
100015300000;100015400000
100015400000;100015500000
100015500000;100015600000
100015600000;100015700000
100015700000;100015800000
100015800000;100015900000
100015900000;100016000000
100016000000;100016100000
100016100000;100016200000
100016200000;100016300000
100016300000;100016400000
100016400000;100016500000
100016500000;100016600000
100016600000;100016700000
100016700000;100016800000
100016800000;100016900000
100016900000;100017000000
100017000000;100017100000
100017100000;100017200000
100017200000;100017300000
100017300000;100017400000
100017400000;100017500000
100017500000;100017600000
100017600000;100017700000
100017700000;100017800000
100017800000;100017900000
100017900000;100018000000
100018000000;100018100000
100018100000;100018200000
100018200000;100018300000
100018300000;100018400000
100018400000;100018500000
100018500000;100018600000
100018600000;100018700000
100018700000;100018800000
100018800000;100018900000
100018900000;100019000000
100019000000;100019100000
100019100000;100019200000
100019200000;100019300000
100019300000;100019400000
100019400000;100019500000
100019500000;100019600000
100019600000;100019700000
100019700000;100019800000
100019800000;100019900000
100019900000;100020000000
